outcome,term,event_time,estimate,std_error,t_value,p_value,ci_low,ci_high
y,year::-13,-13,0.17945760128034302,0.1034382002327889,1.7349257902445283,0.08337139376392058,-0.02377047086788686,0.3826856734285729
y,year::-12,-12,0.0987687539099466,0.07256531778070911,1.361101376396142,0.1740959895405026,-0.043802458700174074,0.24133996652006728
y,year::-11,-11,0.009547115220885732,0.04050134008267725,0.23572344029596962,0.8137439933496151,-0.07002705801393799,0.08912128845570946
y,year::-10,-10,0.037843650060120915,0.03919764091807109,0.965457338088784,0.33478345067466964,-0.03916910710899499,0.11485640722923682
y,year::-9,-9,0.04630302921767156,0.034411654119152334,1.345562438159603,0.17905475139898694,-0.021306559022729585,0.1139126174580727
y,year::-8,-8,0.04784351504913809,0.027052302601001457,1.7685561097992064,0.07757887311061998,-0.005306938964942158,0.10099396906321834
y,year::-7,-7,0.035186119632437465,0.02080716936842971,1.6910574912618648,0.09145024167037456,-0.005694337568975125,0.07606657683385006
y,year::-6,-6,0.015046650871821261,0.01883477573675063,0.7988760302816913,0.4247423654075132,-0.021958586590834495,0.05205188833447702
y,year::-5,-5,0.0022954088995940335,0.01762620651325442,0.13022705128684095,0.8964392726731281,-0.03233531708861555,0.03692613488780362
y,year::-4,-4,0.02288421773661701,0.01475935069582325,1.5504894631369532,0.12165804802667977,-0.006113912367361522,0.05188234784059554
y,year::-3,-3,0.013344590280695859,0.014941931114096276,0.8930967609739895,0.37223585897511813,-0.01601226093728251,0.04270144149867423
y,year::-2,-2,0.014751926296272914,0.014756150378778303,0.9997137408879037,0.31793358987522047,-0.01423991605074693,0.043743768643292755
y,year::0,0,3.3655697185623468,0.01532169720232769,219.66037274584997,0,3.3354667297491196,3.395672707375574
y,year::1,1,3.362548988881114,0.014631937722393488,229.80886418993515,0,3.333801190790826,3.3912967869714024
y,year::2,2,3.317795631014861,0.016010081024426612,207.23165772571005,0,3.2863401542740758,3.3492511077556464
y,year::3,3,3.238251492363185,0.017806012348558352,181.8628129068644,0,3.2032674965656827,3.273235488160687
y,year::4,4,3.127304628487572,0.01711025070357287,182.7737467245027,0,3.0936876160430944,3.1609216409320493
y,year::5,5,2.9881153938215252,0.018525607889123233,161.29648277700562,0,2.9517175875158514,3.024513200127199
y,year::6,6,2.7568276879766676,0.022602432563271452,121.9703976666858,0,2.712420024411791,2.801235351541544
y,year::7,7,2.5750721928340927,0.02313135863298405,111.32386271345865,0,2.5296253326743923,2.620519052993793
y,year::8,8,2.3321321814046563,0.02594415163596017,89.89047759696946,2.2156698965913e-310,2.281158944161244,2.3831054186480687
y,year::9,9,2.2223295002425885,0.03582568827135667,62.03173218640949,1.0676006535704877e-236,2.151941717543491,2.2927172829416858
y,year::10,10,2.017136352532508,0.03947588268660589,51.09794171155847,2.1031237237036e-200,1.9395769255829514,2.0946957794820644
y,year::11,11,1.8457142920109972,0.051945569119888166,35.53169833891255,8.9727129036395e-139,1.7436553056295705,1.947773278392424
y,year::12,12,1.7506328040530912,0.06433225043980524,27.21236692459769,1.185487409885405e-100,1.6242373408256252,1.8770282672805572
y,year::13,13,1.4315790934284833,0.09388077895554278,15.248905147095202,2.2387599333793137e-43,1.24712876776571,1.6160294190912567
