outcome,group,year,att,se,event_time,ci_low,ci_high
base_income,2009,2008,-182.52428066160843,88.67616338702075,-1,-356.3295609001691,-8.71900042304776
base_income,2009,2009,7015.854580668262,36.76748050922353,0,6943.790318870184,7087.918842466341
base_income,2009,2010,7055.228091879137,87.28297090197802,1,6884.15346891126,7226.302714847014
base_income,2009,2011,7070.421985900667,80.89514647800094,2,6911.867498803786,7228.976472997549
base_income,2009,2012,7003.924606640874,88.00834195749125,3,6831.428256404191,7176.420956877557
base_income,2009,2013,6987.279671192146,90.02500187301328,4,6810.830667521041,7163.728674863252
base_income,2009,2014,6918.26389512083,94.85219687496748,5,6732.353589245894,7104.174200995766
base_income,2009,2015,7014.771262030794,103.29455967633125,6,6812.313925065185,7217.228598996403
base_income,2009,2016,NA,NA,7,NA,NA
base_income,2010,2008,83.58046821440885,88.42324600426312,-2,-89.72909395394686,256.89003038276456
base_income,2010,2009,68.08144779676638,57.40930199336554,-1,-44.44078411023007,180.60367970376285
base_income,2010,2010,7019.539074637961,69.97816486389833,0,6882.38187150472,7156.6962777712015
base_income,2010,2011,7038.372408845027,62.62837554382197,1,6915.6207927791365,7161.124024910918
base_income,2010,2012,7001.105586142069,79.28701607922284,2,6845.703034626792,7156.508137657346
base_income,2010,2013,7007.068321751157,73.943654271386,3,6862.138759379241,7151.997884123073
base_income,2010,2014,7023.790738106519,75.29227580021241,4,6876.217877538103,7171.363598674935
base_income,2010,2015,7014.718907072615,107.77669071779474,5,6803.476593265737,7225.961220879493
base_income,2010,2016,NA,NA,6,NA,NA
base_income,2011,2008,-181.33836950331988,140.98885132876242,-3,-457.6765181076942,94.99977910105446
base_income,2011,2009,-17.125497897157665,184.4920673879634,-2,-378.7299499775659,344.47895418325055
base_income,2011,2010,-41.01549868923053,111.77646830779335,-1,-260.0973765725055,178.06637919404443
base_income,2011,2011,7029.688318712157,43.0974764637798,0,6945.217264843148,7114.159372581165
base_income,2011,2012,6992.436084796825,65.58362410907898,1,6863.892181543029,7120.97998805062
base_income,2011,2013,7004.326333046743,66.41727888928284,2,6874.148466423748,7134.504199669737
base_income,2011,2014,7009.784577897177,86.10864065272986,3,6841.011642217826,7178.5575135765275
base_income,2011,2015,7019.617603381959,89.32064454523275,4,6844.549140073303,7194.686066690616
base_income,2011,2016,7166.2034262470215,122.67022016932911,5,6925.769794715136,7406.637057778907
base_income,2012,2008,120.98047166333586,67.2565189711475,-4,-10.842305520113229,252.80324884678495
base_income,2012,2009,-85.3672424576074,83.99040690501334,-3,-249.98843999143355,79.25395507621874
base_income,2012,2010,19.33697463820832,89.08530005987289,-2,-155.27021347914254,193.94416275555918
base_income,2012,2011,-4.4655713641913835,69.45563705201113,-1,-140.5986199861332,131.66747725775042
base_income,2012,2012,6958.674988420847,33.131511730553626,0,6893.737225428961,7023.612751412732
base_income,2012,2013,6970.532761885974,25.05386066007224,1,6921.427194992232,7019.638328779715
base_income,2012,2014,6957.016134162739,33.392645719780596,2,6891.566548551969,7022.465719773509
