outcome,group,att,se,ci_low,ci_high
y,2010,1.475134354868794,0.04555079481107049,1.385854797039096,1.5644139126984922
y,2011,2.0593015278500224,0.04190501946787174,1.9771676896929937,2.141435366007051
y,2012,2.530368889490363,0.06905705509070836,2.3950170615125743,2.6657207174681514
y,2013,2.947200937134488,0.043964431447059825,2.8610306514982504,3.0333712227707252
y,2014,3.462297630000305,0.06009343817319327,3.3445144911808464,3.580080768819764
y,2015,4.030455140066823,0.058389064409302215,3.916012573824591,4.144897706309055
y,2016,4.524644779028619,0.06762898744397337,4.392091963638431,4.657197594418807
y,2017,5.074066270504211,0.046493708923880765,4.982938601013405,5.165193939995017
y,2018,5.5633088079157504,0.04327916450040037,5.478481645494965,5.6481359703365355
