outcome,event_time,att,se,ci_low,ci_high
y,-3,-0.01634250573758901,0.02042156803498856,-0.05636877908616659,0.023683767610988567
y,-2,0.0010802098083348398,0.018227103038677143,-0.034644912147472354,0.03680533176414204
y,-1,-0.015554678148341477,0.01834765103975767,-0.05151607418626651,0.020406717889583554
y,0,3.3603585717439644,0.08377953943848002,3.1961506744445436,3.524566469043385
y,1,3.3561013894313114,0.08814564311140813,3.1833359289329515,3.5288668499296714
y,2,3.365280450266896,0.08973841983277343,3.18939314739466,3.541167753139132
y,3,3.366133000181637,0.08478792889575723,3.199948659545953,3.532317340817321
y,4,3.378563644654352,0.09024591025053569,3.201681660563302,3.5554456287454017
y,5,3.398770289055955,0.09826207068687046,3.206176630509689,3.591363947602221
